id,target
boostcamp-sts-v1-test-000,3.5
boostcamp-sts-v1-test-001,4.4
boostcamp-sts-v1-test-002,1.2
boostcamp-sts-v1-test-003,-0.1
boostcamp-sts-v1-test-004,3.6
boostcamp-sts-v1-test-005,3.0
boostcamp-sts-v1-test-006,4.2
boostcamp-sts-v1-test-007,1.8
boostcamp-sts-v1-test-008,0.1
boostcamp-sts-v1-test-009,3.4
boostcamp-sts-v1-test-010,1.5
boostcamp-sts-v1-test-011,2.2
boostcamp-sts-v1-test-012,2.8
boostcamp-sts-v1-test-013,2.3
boostcamp-sts-v1-test-014,1.6
boostcamp-sts-v1-test-015,4.7
boostcamp-sts-v1-test-016,5.1
boostcamp-sts-v1-test-017,1.6
boostcamp-sts-v1-test-018,5.1
boostcamp-sts-v1-test-019,4.4
boostcamp-sts-v1-test-020,3.0
boostcamp-sts-v1-test-021,2.0
boostcamp-sts-v1-test-022,2.0
boostcamp-sts-v1-test-023,0.5
boostcamp-sts-v1-test-024,1.6
boostcamp-sts-v1-test-025,2.1
boostcamp-sts-v1-test-026,1.3
boostcamp-sts-v1-test-027,1.0
boostcamp-sts-v1-test-028,3.7
boostcamp-sts-v1-test-029,3.2
boostcamp-sts-v1-test-030,4.2
boostcamp-sts-v1-test-031,0.6
boostcamp-sts-v1-test-032,2.7
boostcamp-sts-v1-test-033,3.1
boostcamp-sts-v1-test-034,2.9
boostcamp-sts-v1-test-035,0.8
boostcamp-sts-v1-test-036,3.7
boostcamp-sts-v1-test-037,0.4
boostcamp-sts-v1-test-038,2.0
boostcamp-sts-v1-test-039,2.7
boostcamp-sts-v1-test-040,0.3
boostcamp-sts-v1-test-041,4.1
boostcamp-sts-v1-test-042,0.3
boostcamp-sts-v1-test-043,1.3
boostcamp-sts-v1-test-044,2.8
boostcamp-sts-v1-test-045,5.1
boostcamp-sts-v1-test-046,2.1
boostcamp-sts-v1-test-047,1.1
boostcamp-sts-v1-test-048,0.2
boostcamp-sts-v1-test-049,3.7
boostcamp-sts-v1-test-050,0.1
boostcamp-sts-v1-test-051,1.4
boostcamp-sts-v1-test-052,2.9
boostcamp-sts-v1-test-053,2.9
boostcamp-sts-v1-test-054,4.2
boostcamp-sts-v1-test-055,1.5
boostcamp-sts-v1-test-056,3.9
boostcamp-sts-v1-test-057,1.5
boostcamp-sts-v1-test-058,2.0
boostcamp-sts-v1-test-059,3.8
boostcamp-sts-v1-test-060,4.3
boostcamp-sts-v1-test-061,3.6
boostcamp-sts-v1-test-062,1.6
boostcamp-sts-v1-test-063,1.3
boostcamp-sts-v1-test-064,2.0
