id,target
boostcamp-sts-v1-test-000,2.2
boostcamp-sts-v1-test-001,4.2
boostcamp-sts-v1-test-002,1.5
boostcamp-sts-v1-test-003,0.0
boostcamp-sts-v1-test-004,3.5
boostcamp-sts-v1-test-005,2.8
boostcamp-sts-v1-test-006,3.8
boostcamp-sts-v1-test-007,0.8
boostcamp-sts-v1-test-008,0.3
boostcamp-sts-v1-test-009,4.4
boostcamp-sts-v1-test-010,1.4
boostcamp-sts-v1-test-011,3.0
boostcamp-sts-v1-test-012,1.6
boostcamp-sts-v1-test-013,2.2
boostcamp-sts-v1-test-014,2.9
boostcamp-sts-v1-test-015,4.1
boostcamp-sts-v1-test-016,4.7
boostcamp-sts-v1-test-017,2.7
boostcamp-sts-v1-test-018,4.8
boostcamp-sts-v1-test-019,4.2
boostcamp-sts-v1-test-020,3.0
boostcamp-sts-v1-test-021,2.4
boostcamp-sts-v1-test-022,1.4
boostcamp-sts-v1-test-023,0.6
boostcamp-sts-v1-test-024,1.6
boostcamp-sts-v1-test-025,2.0
boostcamp-sts-v1-test-026,1.2
boostcamp-sts-v1-test-027,1.2
boostcamp-sts-v1-test-028,3.8
boostcamp-sts-v1-test-029,3.2
boostcamp-sts-v1-test-030,4.1
boostcamp-sts-v1-test-031,0.7
boostcamp-sts-v1-test-032,1.8
boostcamp-sts-v1-test-033,2.6
boostcamp-sts-v1-test-034,2.9
boostcamp-sts-v1-test-035,0.8
boostcamp-sts-v1-test-036,1.9
boostcamp-sts-v1-test-037,0.6
boostcamp-sts-v1-test-038,0.3
boostcamp-sts-v1-test-039,2.8
boostcamp-sts-v1-test-040,0.4
boostcamp-sts-v1-test-041,3.7
boostcamp-sts-v1-test-042,0.1
boostcamp-sts-v1-test-043,1.0
boostcamp-sts-v1-test-044,2.3
boostcamp-sts-v1-test-045,4.9
boostcamp-sts-v1-test-046,2.1
boostcamp-sts-v1-test-047,1.5
boostcamp-sts-v1-test-048,0.3
boostcamp-sts-v1-test-049,3.1
boostcamp-sts-v1-test-050,-0.0
boostcamp-sts-v1-test-051,0.7
boostcamp-sts-v1-test-052,2.6
boostcamp-sts-v1-test-053,3.1
boostcamp-sts-v1-test-054,3.8
boostcamp-sts-v1-test-055,1.6
boostcamp-sts-v1-test-056,3.4
boostcamp-sts-v1-test-057,0.9
boostcamp-sts-v1-test-058,2.1
boostcamp-sts-v1-test-059,3.3
boostcamp-sts-v1-test-060,4.1
boostcamp-sts-v1-test-061,3.4
boostcamp-sts-v1-test-062,0.9
boostcamp-sts-v1-test-063,1.7
boostcamp-sts-v1-test-064,2.1
boostcamp-sts-v1-test-065,3.8
boostcamp-sts-v1-test-066,2.6
boostcamp-sts-v1-test-067,0.9
boostcamp-sts-v1-test-068,2.2
boostcamp-sts-v1-test-069,2.4
boostcamp-sts-v1-test-070,0.2
boostcamp-sts-v1-test-071,3.3
boostcamp-sts-v1-test-072,4.1
boostcamp-sts-v1-test-073,4.2
boostcamp-sts-v1-test-074,0.2
boostcamp-sts-v1-test-075,1.7
boostcamp-sts-v1-test-076,3.0
boostcamp-sts-v1-test-077,1.9
boostcamp-sts-v1-test-078,2.1
boostcamp-sts-v1-test-079,3.6
boostcamp-sts-v1-test-080,0.9
boostcamp-sts-v1-test-081,2.7
boostcamp-sts-v1-test-082,1.5
boostcamp-sts-v1-test-083,1.4
boostcamp-sts-v1-test-084,0.8
boostcamp-sts-v1-test-085,4.4
boostcamp-sts-v1-test-086,3.5
boostcamp-sts-v1-test-087,0.8
boostcamp-sts-v1-test-088,3.7
boostcamp-sts-v1-test-089,3.4
boostcamp-sts-v1-test-090,4.6
boostcamp-sts-v1-test-091,3.0
boostcamp-sts-v1-test-092,0.6
boostcamp-sts-v1-test-093,1.7
boostcamp-sts-v1-test-094,4.0
boostcamp-sts-v1-test-095,1.7
boostcamp-sts-v1-test-096,3.0
boostcamp-sts-v1-test-097,2.5
boostcamp-sts-v1-test-098,0.5
boostcamp-sts-v1-test-099,3.0
boostcamp-sts-v1-test-100,2.0
boostcamp-sts-v1-test-101,4.8
boostcamp-sts-v1-test-102,4.6
boostcamp-sts-v1-test-103,3.6
boostcamp-sts-v1-test-104,3.9
boostcamp-sts-v1-test-105,0.9
boostcamp-sts-v1-test-106,3.4
boostcamp-sts-v1-test-107,3.0
boostcamp-sts-v1-test-108,2.1
boostcamp-sts-v1-test-109,3.2
boostcamp-sts-v1-test-110,2.7
boostcamp-sts-v1-test-111,0.4
boostcamp-sts-v1-test-112,-0.0
boostcamp-sts-v1-test-113,3.1
boostcamp-sts-v1-test-114,1.9
boostcamp-sts-v1-test-115,2.3
boostcamp-sts-v1-test-116,0.4
boostcamp-sts-v1-test-117,4.8
boostcamp-sts-v1-test-118,2.1
boostcamp-sts-v1-test-119,3.2
boostcamp-sts-v1-test-120,3.8
boostcamp-sts-v1-test-121,1.7
boostcamp-sts-v1-test-122,1.7
boostcamp-sts-v1-test-123,2.9
boostcamp-sts-v1-test-124,2.9
boostcamp-sts-v1-test-125,1.4
boostcamp-sts-v1-test-126,3.8
boostcamp-sts-v1-test-127,4.5
boostcamp-sts-v1-test-128,2.9
boostcamp-sts-v1-test-129,4.6
boostcamp-sts-v1-test-130,2.6
boostcamp-sts-v1-test-131,3.8
boostcamp-sts-v1-test-132,4.5
boostcamp-sts-v1-test-133,2.5
boostcamp-sts-v1-test-134,4.9
boostcamp-sts-v1-test-135,3.7
boostcamp-sts-v1-test-136,0.5
boostcamp-sts-v1-test-137,3.4
boostcamp-sts-v1-test-138,2.1
boostcamp-sts-v1-test-139,3.5
boostcamp-sts-v1-test-140,4.0
boostcamp-sts-v1-test-141,1.0
boostcamp-sts-v1-test-142,2.8
boostcamp-sts-v1-test-143,4.4
boostcamp-sts-v1-test-144,0.5
boostcamp-sts-v1-test-145,0.1
boostcamp-sts-v1-test-146,0.6
boostcamp-sts-v1-test-147,0.9
boostcamp-sts-v1-test-148,0.8
boostcamp-sts-v1-test-149,3.9
boostcamp-sts-v1-test-150,1.5
boostcamp-sts-v1-test-151,4.4
boostcamp-sts-v1-test-152,2.0
boostcamp-sts-v1-test-153,2.0
boostcamp-sts-v1-test-154,1.1
boostcamp-sts-v1-test-155,2.9
boostcamp-sts-v1-test-156,4.6
boostcamp-sts-v1-test-157,4.8
boostcamp-sts-v1-test-158,4.3
boostcamp-sts-v1-test-159,1.3
boostcamp-sts-v1-test-160,4.1
boostcamp-sts-v1-test-161,0.7
boostcamp-sts-v1-test-162,3.0
boostcamp-sts-v1-test-163,1.7
boostcamp-sts-v1-test-164,3.4
boostcamp-sts-v1-test-165,4.2
boostcamp-sts-v1-test-166,0.6
boostcamp-sts-v1-test-167,3.6
boostcamp-sts-v1-test-168,1.0
boostcamp-sts-v1-test-169,3.9
boostcamp-sts-v1-test-170,3.2
boostcamp-sts-v1-test-171,2.5
boostcamp-sts-v1-test-172,4.1
boostcamp-sts-v1-test-173,0.8
boostcamp-sts-v1-test-174,3.9
boostcamp-sts-v1-test-175,2.1
boostcamp-sts-v1-test-176,0.0
boostcamp-sts-v1-test-177,4.6
boostcamp-sts-v1-test-178,1.7
boostcamp-sts-v1-test-179,3.6
boostcamp-sts-v1-test-180,2.9
boostcamp-sts-v1-test-181,2.6
boostcamp-sts-v1-test-182,2.6
boostcamp-sts-v1-test-183,1.0
boostcamp-sts-v1-test-184,2.2
boostcamp-sts-v1-test-185,3.9
boostcamp-sts-v1-test-186,3.1
boostcamp-sts-v1-test-187,3.1
boostcamp-sts-v1-test-188,0.0
boostcamp-sts-v1-test-189,2.7
boostcamp-sts-v1-test-190,2.2
boostcamp-sts-v1-test-191,1.0
boostcamp-sts-v1-test-192,1.4
boostcamp-sts-v1-test-193,2.2
boostcamp-sts-v1-test-194,2.2
boostcamp-sts-v1-test-195,1.2
boostcamp-sts-v1-test-196,1.5
boostcamp-sts-v1-test-197,4.1
boostcamp-sts-v1-test-198,3.4
boostcamp-sts-v1-test-199,0.5
boostcamp-sts-v1-test-200,2.6
boostcamp-sts-v1-test-201,3.8
boostcamp-sts-v1-test-202,4.4
boostcamp-sts-v1-test-203,0.4
boostcamp-sts-v1-test-204,2.0
boostcamp-sts-v1-test-205,2.1
boostcamp-sts-v1-test-206,1.3
boostcamp-sts-v1-test-207,1.3
boostcamp-sts-v1-test-208,1.0
boostcamp-sts-v1-test-209,2.7
boostcamp-sts-v1-test-210,1.0
boostcamp-sts-v1-test-211,2.5
boostcamp-sts-v1-test-212,1.1
boostcamp-sts-v1-test-213,0.7
boostcamp-sts-v1-test-214,4.1
boostcamp-sts-v1-test-215,3.4
boostcamp-sts-v1-test-216,3.2
boostcamp-sts-v1-test-217,1.7
boostcamp-sts-v1-test-218,1.7
boostcamp-sts-v1-test-219,0.2
boostcamp-sts-v1-test-220,3.5
boostcamp-sts-v1-test-221,3.1
boostcamp-sts-v1-test-222,4.0
boostcamp-sts-v1-test-223,2.7
boostcamp-sts-v1-test-224,4.5
boostcamp-sts-v1-test-225,3.2
boostcamp-sts-v1-test-226,3.7
boostcamp-sts-v1-test-227,3.1
boostcamp-sts-v1-test-228,2.7
boostcamp-sts-v1-test-229,0.0
boostcamp-sts-v1-test-230,1.2
boostcamp-sts-v1-test-231,1.4
boostcamp-sts-v1-test-232,3.7
boostcamp-sts-v1-test-233,2.4
boostcamp-sts-v1-test-234,0.0
boostcamp-sts-v1-test-235,2.4
boostcamp-sts-v1-test-236,2.0
boostcamp-sts-v1-test-237,2.0
boostcamp-sts-v1-test-238,1.7
boostcamp-sts-v1-test-239,2.0
boostcamp-sts-v1-test-240,1.2
boostcamp-sts-v1-test-241,0.9
boostcamp-sts-v1-test-242,0.1
boostcamp-sts-v1-test-243,4.4
boostcamp-sts-v1-test-244,0.8
boostcamp-sts-v1-test-245,3.9
boostcamp-sts-v1-test-246,3.0
boostcamp-sts-v1-test-247,3.9
boostcamp-sts-v1-test-248,3.8
boostcamp-sts-v1-test-249,3.6
boostcamp-sts-v1-test-250,0.2
boostcamp-sts-v1-test-251,0.7
boostcamp-sts-v1-test-252,0.0
boostcamp-sts-v1-test-253,3.4
boostcamp-sts-v1-test-254,3.1
boostcamp-sts-v1-test-255,4.8
boostcamp-sts-v1-test-256,3.2
boostcamp-sts-v1-test-257,1.1
boostcamp-sts-v1-test-258,4.2
boostcamp-sts-v1-test-259,2.9
boostcamp-sts-v1-test-260,4.1
boostcamp-sts-v1-test-261,4.4
boostcamp-sts-v1-test-262,3.5
boostcamp-sts-v1-test-263,4.1
boostcamp-sts-v1-test-264,4.3
boostcamp-sts-v1-test-265,3.5
boostcamp-sts-v1-test-266,3.8
boostcamp-sts-v1-test-267,2.2
